,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape
ART_00298-1,0.007391554208033608,0.007482878820135841,0.006081668114682884,0.4308755760368664,0.9962423635495365,0.26934398171061535,0.23809523809523803,0.01578947368421052,0
ART_00298-2,0.0027644016408061352,0.00433391630056794,0.020851433536055602,0.03341013824884793,0.9267928647408372,0.8054020324478517,0.5555555555555555,0.24210526315789477,2
ART_00298-3,0.0001486237441293621,6.672877185764472e-05,0.03388357949609035,0,0.6236773428232503,0.997698504027618,0.06878306878306878,0.01315789473684209,0
ART_00299-0,0.0038344925985375426,0.004340409576504398,0.0017376194613379669,0.26036866359447003,0.9992232954866407,0.20873159390338414,0.29100529100529104,0.09210526315789475,0
ART_00299-1,0.000495412480431207,0.0004704171183753216,0.008688097306689834,0.01728110599078341,0.9920601028074341,0.3042786902395649,0.2063492063492064,0.0368421052631579,3
ART_00300-0,0.000634127974951945,0.0005031598076719299,0.0034752389226759338,0.09216589861751152,0.996419504759285,0.4981404579643435,0.015873015873015872,0,3
ART_00300-1,0.020044388958246635,0.021500618173684632,0.011294526498696784,0.2638248847926267,0.9911902405469336,0.19365704078459672,0.3121693121693122,0.05263157894736842,0
ART_00300-2,0.0021401819154628146,0.004313193079494137,0.0017376194613379669,0.25921658986175117,0.9999527651191875,0.20149545168160216,0.5238095238095238,0.431578947368421,3
ART_00300-3,0.009749717614886154,0.010788094426600215,0.0069504778453518675,0.46889400921658986,0.9960084456102938,0.2429893384188095,0.4391534391534392,0.0368421052631579,0
ART_00301-0,0.0020113746705507007,0.001816044940100911,0.0017376194613379669,0.24193548387096775,0.9996988776348208,0.17826635389926526,0.10052910052910052,0.005263157894736803,3
ART_00301-1,0.00036660523551909315,0.0002706452672238634,0.0008688097306689834,0.07258064516129033,0.9981359091679372,0.49931503096060065,0.031746031746031744,0.010526315789473661,3
ART_00302-0,0.00038642173473634145,0.0003109864709141993,0.0008688097306689834,0.06451612903225806,0.9999209173586399,0.4981692645674234,0.08465608465608465,0.02631578947368418,0
ART_00302-1,0.002120365416245566,0.0021371167119376942,0.0026064291920069502,0.2304147465437788,0.9980218506421403,0.2469273977857296,0.2222222222222222,0.04736842105263156,0
ART_00303-0,0.0009710084616451657,0.00097896496352644,0.0008688097306689834,0.09907834101382489,0.9993919082334244,0.49460936016177515,0.17989417989417988,0.05263157894736842,0
ART_00303-1,0.005806234270653746,0.008581071382240226,0.004344048653344917,0.26036866359447003,0.9966911073510054,0.2458531209414715,0.7248677248677248,0.15789473684210525,0
ART_00304-0,0.005855775518696866,0.008545289287186127,0.004344048653344917,0.2569124423963134,0.998374029048275,0.24922575513009634,0.7301587301587301,0.14736842105263154,0
ART_00304-1,0.0015159621901194935,0.0015806291487025122,0.00781928757602085,0.15092165898617513,0.9966745248784982,0.49855064019460754,0.2222222222222222,0.05526315789473685,0
ART_00305-0,0.029477042585656817,0.09900256373875643,0.783666377063423,0.03341013824884793,0.1850178201321052,0.9950378820058542,0.9999999999999999,0.9368421052631579,3
